domain1	domain2	pid
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/449-511	0.7741935483870968
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/535-597	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/607-672	0.27419354838709675
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/682-747	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/757-822	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/851-916	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/926-991	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1001-1066	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1095-1160	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1170-1235	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1245-1310	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1339-1404	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1414-1479	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1489-1554	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1583-1648	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1658-1723	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1733-1798	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1827-1892	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1902-1967	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/1977-2042	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2071-2136	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2146-2211	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2221-2286	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2315-2380	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2390-2455	0.31746031746031744
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2465-2530	0.3333333333333333
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2559-2624	0.2903225806451613
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2634-2699	0.30158730158730157
A0A087WZJ2_HUMAN/177-240	A0A087WZJ2_HUMAN/2728-2793	0.30158730158730157
A0A087WZJ2_HUMAN/449-511	A0A087WZJ2_HUMAN/535-597	0.31666666666666665
